NaturalId,SentenceId,Source,Sentence,CB Sentence Start Time
Audio;2025040111115681103265267559660601,5752482066,AUDIO,I,159
Audio;2025040111115681103265267559660601,5752481746,AUDIO,Thank you for choosing Optimum Business Home of Optimum Mobile.,649
Audio;2025040111115681103265267559660601,5752481747,AUDIO,This is Ron,3809
Audio;2025040111115681103265267559660601,5752481748,AUDIO,who am I speaking with,3809
Audio;2025040111115681103265267559660601,5752482067,AUDIO,Mo,7219
Audio;2025040111115681103265267559660601,5752481749,AUDIO,"OK, um, um, are you calling in regards to a business account or a residential account, sir?",9300
Audio;2025040111115681103265267559660601,5752482068,AUDIO,Actually I have the residential account like.,15779
Audio;2025040111115681103265267559660601,5752482069,AUDIO,"Already at your company, you know",19229
Audio;2025040111115681103265267559660601,5752482070,AUDIO,uh I want to know the information,19229
Audio;2025040111115681103265267559660601,5752481750,AUDIO,OK.,21500
Audio;2025040111115681103265267559660601,5752482071,AUDIO,I want to open uh at my business account,23750
Audio;2025040111115681103265267559660601,5752482072,AUDIO,you know,23750
Audio;2025040111115681103265267559660601,5752481751,AUDIO,"OK, so if you wanted to open a business account, I would need to collect your information, uh, to confirm, uh, the availability and service.",27659
Audio;2025040111115681103265267559660601,5752482073,AUDIO,So I want XXX East Royal Boulevard.,28440
Audio;2025040111115681103265267559660601,5752481752,AUDIO,"Uh, can you tell me the address that you are potentially looking to have services at?",35150
Audio;2025040111115681103265267559660601,5752481753,AUDIO,"OK, and what is the zip code, sir?",46389
Audio;2025040111115681103265267559660601,5752482074,AUDIO,I am sorry?,53180
Audio;2025040111115681103265267559660601,5752481754,AUDIO,What is the zip code for Royal Boulevard?,54319
Audio;2025040111115681103265267559660601,5752482075,AUDIO,XXXXXX.,57009
Audio;2025040111115681103265267559660601,5752481755,AUDIO,XXXXX thank you.,61840
Audio;2025040111115681103265267559660601,5752481756,AUDIO,"Alright, and uh is there like um.",65949
Audio;2025040111115681103265267559660601,5752481757,AUDIO,Did you say east or west?,71910
Audio;2025040111115681103265267559660601,5752481758,AUDIO,I am sorry.,73019
Audio;2025040111115681103265267559660601,5752481759,AUDIO,"Oh, you did say eat, sorry about that.",75480
Audio;2025040111115681103265267559660601,5752482076,AUDIO,XXX East Royal Boulevard.,77940
Audio;2025040111115681103265267559660601,5752481760,AUDIO,"OK, XXX, alright, so I am not actually seeing XXX.",81110
Audio;2025040111115681103265267559660601,5752481761,AUDIO,Do they currently have services there?,85650
Audio;2025040111115681103265267559660601,5752481762,AUDIO,"It is XXX, right?",87269
Audio;2025040111115681103265267559660601,5752482077,AUDIO,"Yeah, XXX.",89540
Audio;2025040111115681103265267559660601,5752481763,AUDIO,"OK, um, do you currently have services there?",91470
Audio;2025040111115681103265267559660601,5752482078,AUDIO,"Yeah, right now we with the Centrelink, you know.",95449
Audio;2025040111115681103265267559660601,5752481764,AUDIO,OK.,98569
Audio;2025040111115681103265267559660601,5752481765,AUDIO,All right.,99989
Audio;2025040111115681103265267559660601,5752482079,AUDIO,"Oh, brit, Brice.",100779
Audio;2025040111115681103265267559660601,5752481766,AUDIO,Right space.,102819
Audio;2025040111115681103265267559660601,5752481767,AUDIO,"OK, so let me see, uh, I just need to collect a little bit more information from you, sir.",103419
Audio;2025040111115681103265267559660601,5752481768,AUDIO,"Uh, first, let me get a good phone number for you.",108940
Audio;2025040111115681103265267559660601,5752482080,AUDIO,XXX XXX XXX X.,112660
Audio;2025040111115681103265267559660601,5752481769,AUDIO,"Thank you, um, and what is the name of the business?",120970
Audio;2025040111115681103265267559660601,5752482081,AUDIO,Donut Palace.,125250
Audio;2025040111115681103265267559660601,5752481770,AUDIO,You said do not not tell us?,128389
Audio;2025040111115681103265267559660601,5752482082,AUDIO,Yes,130369
Audio;2025040111115681103265267559660601,5752481771,AUDIO,"All right, can you spell that for me so I have it accurate?",131059
Audio;2025040111115681103265267559660601,5752482083,AUDIO,"Uh, it is Malakov Donut Palace, you know",135289
Audio;2025040111115681103265267559660601,5752482084,AUDIO,"like Malakov is city and uh donut palace, donut, you know, and palace",135289
Audio;2025040111115681103265267559660601,5752481772,AUDIO,"Oh, Donut Palace.",141770
Audio;2025040111115681103265267559660601,5752481773,AUDIO,"OK, got it.",143399
Audio;2025040111115681103265267559660601,5752482085,AUDIO,Yeah.,144369
Audio;2025040111115681103265267559660601,5752481774,AUDIO,"Alright, so Donut Palace and what is a good email for you?",144399
Audio;2025040111115681103265267559660601,5752482086,AUDIO,Like a MOV.,150429
Audio;2025040111115681103265267559660601,5752482087,AUDIO,I am like my dad or like.,152750
Audio;2025040111115681103265267559660601,5752482088,AUDIO,"And V like Victor, S like Sam, O like Oscar again, and U like umbrella at gmail.com.",155309
Audio;2025040111115681103265267559660601,5752482089,AUDIO,M O V S O U at gmail.com.,162470
Audio;2025040111115681103265267559660601,5752481775,AUDIO,"OK, Mozo M O V S O U at gmail.com.",166100
Audio;2025040111115681103265267559660601,5752482090,AUDIO,Yeah.,170630
Audio;2025040111115681103265267559660601,5752481776,AUDIO,OK perfect.,171389
Audio;2025040111115681103265267559660601,5752481777,AUDIO,"Alright, now for me um can you just uh just spell your first and last name here so I have it correct as well.",172710
Audio;2025040111115681103265267559660601,5752482091,AUDIO,"MOV, first name and S O U, last name.",180479
Audio;2025040111115681103265267559660601,5752481778,AUDIO,SOU first name.,185039
Audio;2025040111115681103265267559660601,5752481779,AUDIO,Got it.,186210
Audio;2025040111115681103265267559660601,5752481780,AUDIO,MOV first name S O U last.,186669
Audio;2025040111115681103265267559660601,5752481781,AUDIO,Thank you.,188490
Audio;2025040111115681103265267559660601,5752482092,AUDIO,Yes.,189470
Audio;2025040111115681103265267559660601,5752481782,AUDIO,Appreciate that.,190729
Audio;2025040111115681103265267559660601,5752481783,AUDIO,"Um, let us see here now.",192660
Audio;2025040111115681103265267559660601,5752482093,AUDIO,"And you, you, you are going to check it.",194660
Audio;2025040111115681103265267559660601,5752482094,AUDIO,"I think it should they have a service over there because like my house close to my business, just X minutes away, you know.",197119
Audio;2025040111115681103265267559660601,5752482095,AUDIO,I use the optimum internet right now for like a long time,203220
Audio;2025040111115681103265267559660601,5752482096,AUDIO,you know,203220
Audio;2025040111115681103265267559660601,5752481784,AUDIO,"Yeah, so I am showing that we service a number of areas uh in in that location.",208100
Audio;2025040111115681103265267559660601,5752481785,AUDIO,"I just wanted to confirm that specific location in that building so that we can, you know, see what we can do to get you up and running now.",212729
Audio;2025040111115681103265267559660601,5752481786,AUDIO,"uh, I am going to just get, uh, my support team on the line",219839
Audio;2025040111115681103265267559660601,5752481787,AUDIO,"I wanted to ask you what um what services do you currently have like you have, um, I know you have internet you said um what speed internet do you currently have",219839
Audio;2025040111115681103265267559660601,5752482097,AUDIO,Mm.,236259
Audio;2025040111115681103265267559660601,5752482098,AUDIO,"I, the thing is like, I think it is XX, you know, XX megabytes that because like at the.",238800
Audio;2025040111115681103265267559660601,5752481788,AUDIO,"Mm, OK.",242580
Audio;2025040111115681103265267559660601,5752481789,AUDIO,"Now, as far as as.",243759
Audio;2025040111115681103265267559660601,5752481790,AUDIO,Go ahead.,246300
